DATE,CPIAUCSL
2010-01-01,217.488
2010-02-01,217.28099999999998
2010-03-01,217.35299999999998
2010-04-01,217.403
2010-05-01,217.29
2010-06-01,217.199
2010-07-01,217.605
2010-08-01,217.923
2010-09-01,218.275
2010-10-01,219.035
2010-11-01,219.59
2010-12-01,220.472
2011-01-01,221.187
2011-02-01,221.898
2011-03-01,223.046
2011-04-01,224.093
2011-05-01,224.80599999999998
2011-06-01,224.80599999999998
2011-07-01,225.395
2011-08-01,226.106
2011-09-01,226.597
2011-10-01,226.75
2011-11-01,227.169
2011-12-01,227.22299999999998
2012-01-01,227.842
2012-02-01,228.329
2012-03-01,228.80700000000002
2012-04-01,229.187
2012-05-01,228.713
2012-06-01,228.524
2012-07-01,228.59
2012-08-01,229.918
2012-09-01,231.015
2012-10-01,231.638
2012-11-01,231.24900000000002
2012-12-01,231.22099999999998
2013-01-01,231.679
2013-02-01,232.937
2013-03-01,232.282
2013-04-01,231.797
2013-05-01,231.893
2013-06-01,232.445
2013-07-01,232.9
2013-08-01,233.456
2013-09-01,233.544
2013-10-01,233.669
2013-11-01,234.1
2013-12-01,234.71900000000002
2014-01-01,235.28799999999998
2014-02-01,235.547
2014-03-01,236.028
2014-04-01,236.468
2014-05-01,236.918
2014-06-01,237.231
2014-07-01,237.498
2014-08-01,237.46
2014-09-01,237.477
2014-10-01,237.43
2014-11-01,236.983
2014-12-01,236.252
2015-01-01,234.718
2015-02-01,235.236
2015-03-01,236.005
2015-04-01,236.15599999999998
2015-05-01,236.97400000000002
2015-06-01,237.68400000000003
2015-07-01,238.053
2015-08-01,238.028
2015-09-01,237.50599999999997
2015-10-01,237.78099999999998
2015-11-01,238.016
2015-12-01,237.817
2016-01-01,237.833
2016-02-01,237.46900000000002
2016-03-01,238.03799999999998
2016-04-01,238.827
2016-05-01,239.46400000000003
2016-06-01,240.167
2016-07-01,240.15
2016-08-01,240.602
2016-09-01,241.051
2016-10-01,241.69099999999997
2016-11-01,242.02900000000002
2016-12-01,242.77200000000002
2017-01-01,243.78
2017-02-01,243.96099999999998
2017-03-01,243.74900000000002
2017-04-01,244.051
2017-05-01,243.96200000000002
2017-06-01,244.18200000000002
2017-07-01,244.39
2017-08-01,245.297
2017-09-01,246.418
2017-10-01,246.58700000000002
2017-11-01,247.332
2017-12-01,247.90099999999998
2018-01-01,248.88400000000001
2018-02-01,249.36900000000003
2018-03-01,249.498
2018-04-01,249.956
2018-05-01,250.646
2018-06-01,251.13400000000001
2018-07-01,251.597
2018-08-01,251.87900000000002
2018-09-01,252.01
2018-10-01,252.794
2018-11-01,252.76
2018-12-01,252.72299999999998
2019-01-01,252.673
2019-02-01,253.113
2019-03-01,254.148
2019-04-01,254.958
2019-05-01,255.155
2019-06-01,255.305
