DATE,GFDEBTN
2010-01-01,12773123.0
2010-04-01,13201792.0
2010-07-01,13561622.0
2010-10-01,14025215.0
2011-01-01,14270114.0
2011-04-01,14343087.0
2011-07-01,14790340.0
2011-10-01,15222940.0
2012-01-01,15606518.0
2012-04-01,15855037.0
2012-07-01,16066240.0
2012-10-01,16432730.0
2013-01-01,16771381.0
2013-04-01,16738320.0
2013-07-01,16738180.0
2013-10-01,17156119.0
2014-01-01,17601227.0
2014-04-01,17632606.0
2014-07-01,17824071.0
2014-10-01,18141444.0
2015-01-01,18152056.0
2015-04-01,18151998.0
2015-07-01,18150618.0
2015-10-01,18922179.0
2016-01-01,19264939.0
2016-04-01,19381591.0
2016-07-01,19573445.0
2016-10-01,19976827.0
2017-01-01,19846420.0
2017-04-01,19844554.0
2017-07-01,20244900.0
2017-10-01,20492747.0
2018-01-01,21089643.0
2018-04-01,21195070.0
2018-07-01,21516058.0
2018-10-01,21974096.0
2019-01-01,22027880.0
